,What is your current yearly compensation (approximate $USD)?
$0-999,1112
"10,000-14,999",493
"30,000-39,999",464
"1,000-1,999",444
"40,000-49,999",421
"100,000-124,999",404
"5,000-7,499",391
"50,000-59,999",366
"7,500-9,999",362
"150,000-199,999",342
"20,000-24,999",337
"60,000-69,999",318
"15,000-19,999",299
"70,000-79,999",289
"25,000-29,999",277
"2,000-2,999",271
"125,000-149,999",269
"3,000-3,999",244
"4,000-4,999",234
"80,000-89,999",222
"90,000-99,999",197
"200,000-249,999",155
"250,000-299,999",78
"300,000-499,999",76
"$500,000-999,999",48
">$1,000,000",23
