,In which country do you currently reside?
India,8792
United States of America,2920
Other,1430
Brazil,833
Nigeria,731
Pakistan,620
Japan,556
China,453
Egypt,383
Mexico,380
Indonesia,376
Turkey,345
Russia,324
South Korea,317
France,262
United Kingdom of Great Britain and Northern Ireland,258
Spain,257
Canada,257
Colombia,256
Bangladesh,251
Taiwan,242
Viet Nam,212
Argentina,204
Kenya,201
Italy,182
Morocco,177
Australia,142
Thailand,132
Tunisia,125
Peru,121
"Iran, Islamic Republic of...",120
Chile,115
Poland,113
South Africa,109
Philippines,108
Netherlands,108
Ghana,107
Israel,102
Germany,99
Ethiopia,98
United Arab Emirates,94
Portugal,87
Saudi Arabia,84
Ukraine,79
Sri Lanka,77
Nepal,75
Malaysia,74
Singapore,68
Cameroon,68
Algeria,62
Hong Kong ,58
Zimbabwe,54
Ecuador,54
Ireland,53
Belgium,51
Romania,50
Czech Republic,49
I do not wish to disclose my location,42
